PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,30.1995172040202,30.1995172040202,94.3752312816085,nM
1,17-DMAG,KPT-330,30.1995172040202,30.1995172040202,93.9928456889108,nM
1,17-DMAG,KPT-330,30.1995172040202,54.9540873857625,93.5662317359149,nM
1,17-DMAG,KPT-330,30.1995172040202,54.9540873857625,94.9010883290241,nM
1,17-DMAG,KPT-330,30.1995172040202,100,95.8089332874038,nM
1,17-DMAG,KPT-330,30.1995172040202,100,93.3287403835113,nM
1,17-DMAG,KPT-330,100,0,93.6167686004394,nM
1,17-DMAG,KPT-330,100,0,91.8591532569325,nM
1,17-DMAG,KPT-330,100,10,92.5278876232072,nM
1,17-DMAG,KPT-330,100,10,93.5076432745086,nM
1,17-DMAG,KPT-330,100,19.9526231496888,91.0966407010711,nM
1,17-DMAG,KPT-330,100,19.9526231496888,93.1901168451801,nM
1,17-DMAG,KPT-330,100,30.1995172040202,90.9954360429259,nM
1,17-DMAG,KPT-330,100,30.1995172040202,92.3029480695695,nM
1,17-DMAG,KPT-330,100,54.9540873857625,91.3414707473994,nM
1,17-DMAG,KPT-330,100,54.9540873857625,92.8446876315315,nM
1,17-DMAG,KPT-330,100,100,94.1784361005856,nM
1,17-DMAG,KPT-330,100,100,91.6982431966931,nM
2,alisertib,KPT-330,0,0,0,nM
2,alisertib,KPT-330,0,0,0,nM
2,alisertib,KPT-330,0,0,0,nM
2,alisertib,KPT-330,0,0,0,nM
2,alisertib,KPT-330,0,0,0.641292084793065,nM
2,alisertib,KPT-330,0,0,4.64342972507571,nM
2,alisertib,KPT-330,0,0,2.28014963481978,nM
2,alisertib,KPT-330,0,0,2.49391366308414,nM
2,alisertib,KPT-330,0,0,0,nM
2,alisertib,KPT-330,0,0,1.45826156849236,nM
2,alisertib,KPT-330,0,0,9.27775864048685,nM
2,alisertib,KPT-330,0,0,0,nM
2,alisertib,KPT-330,0,0,0,nM
